,neurons,activation,batch_size,optimizer,hops,recall,accuracy
91,16,tanh,8,RMSprop,20,0.0,0.9972489683631361
92,16,tanh,8,RMSprop,30,0.0,0.9972394755003451
93,16,tanh,16,RMSprop,10,0.0,0.9972583961617546
94,16,tanh,16,RMSprop,20,0.0,0.9972489683631361
95,16,tanh,16,RMSprop,30,0.0,0.9972394755003451
96,16,tanh,32,RMSprop,10,0.0,0.9972583961617546
97,16,tanh,32,RMSprop,20,0.0,0.9972489683631361
98,16,tanh,32,RMSprop,30,0.0,0.9972394755003451
99,16,tanh,8,Adadelta,10,0.875,0.3098012337217272
100,16,tanh,8,Adadelta,20,0.25,0.15061898211829436
101,16,tanh,8,Adadelta,30,0.75,0.2839889579020014
102,16,tanh,16,Adadelta,10,0.25,0.44996572995202194
103,16,tanh,16,Adadelta,20,0.75,0.011691884456671253
104,16,tanh,16,Adadelta,30,0.75,0.3084886128364389
105,16,tanh,32,Adadelta,10,1.0,0.06579849211788896
106,16,tanh,32,Adadelta,20,0.375,0.5072214580467675
107,16,tanh,32,Adadelta,30,0.0,0.9596273291925466
108,32,relu,8,SGD,10,0.0,0.9972583961617546
109,32,relu,8,SGD,20,0.0,0.9972489683631361
110,32,relu,8,SGD,30,0.0,0.0
111,32,relu,16,SGD,10,0.0,0.9972583961617546
112,32,relu,16,SGD,20,0.0,0.9972489683631361
113,32,relu,16,SGD,30,0.0,0.0
114,32,relu,32,SGD,10,0.0,0.9972583961617546
115,32,relu,32,SGD,20,0.0,0.9972489683631361
116,32,relu,32,SGD,30,0.0,0.9972394755003451
117,32,relu,8,Adam,10,0.0,0.9972583961617546
118,32,relu,8,Adam,20,0.0,0.9972489683631361
119,32,relu,8,Adam,30,0.0,0.9972394755003451
120,32,relu,16,Adam,10,0.0,0.9972583961617546
121,32,relu,16,Adam,20,0.0,0.9972489683631361
122,32,relu,16,Adam,30,0.0,0.9972394755003451
123,32,relu,32,Adam,10,0.0,0.9972583961617546
124,32,relu,32,Adam,20,0.0,0.9972489683631361
125,32,relu,32,Adam,30,0.0,0.9972394755003451
126,32,relu,8,RMSprop,10,0.0,0.9972583961617546
127,32,relu,8,RMSprop,20,0.0,0.9972489683631361
128,32,relu,8,RMSprop,30,0.0,0.9972394755003451
129,32,relu,16,RMSprop,10,0.0,0.9972583961617546
130,32,relu,16,RMSprop,20,0.0,0.9972489683631361
131,32,relu,16,RMSprop,30,0.0,0.9972394755003451
132,32,relu,32,RMSprop,10,0.0,0.9972583961617546
133,32,relu,32,RMSprop,20,0.0,0.9972489683631361
134,32,relu,32,RMSprop,30,0.0,0.9972394755003451
135,32,relu,8,Adadelta,10,0.0,0.6439342015078822
136,32,relu,8,Adadelta,20,0.125,0.9742090784044016
137,32,relu,8,Adadelta,30,0.75,0.795376121463078
138,32,relu,16,Adadelta,10,1.0,0.3289924605894448
139,32,relu,16,Adadelta,20,0.0,0.8758596973865199
140,32,relu,16,Adadelta,30,0.75,0.1307798481711525
141,32,relu,32,Adadelta,10,0.75,0.8279643591501028
142,32,relu,32,Adadelta,20,0.0,0.7046079779917469
143,32,relu,32,Adadelta,30,0.5,0.9903381642512077
144,32,sigmoid,8,SGD,10,0.0,0.9972583961617546
145,32,sigmoid,8,SGD,20,0.0,0.9972489683631361
146,32,sigmoid,8,SGD,30,0.0,0.9972394755003451
147,32,sigmoid,16,SGD,10,0.0,0.9972583961617546
148,32,sigmoid,16,SGD,20,0.0,0.9972489683631361
149,32,sigmoid,16,SGD,30,0.0,0.9972394755003451
150,32,sigmoid,32,SGD,10,0.0,0.9972583961617546
151,32,sigmoid,32,SGD,20,0.0,0.9972489683631361
152,32,sigmoid,32,SGD,30,0.0,0.9972394755003451
153,32,sigmoid,8,Adam,10,0.0,0.9972583961617546
154,32,sigmoid,8,Adam,20,0.0,0.9972489683631361
155,32,sigmoid,8,Adam,30,0.0,0.9972394755003451
156,32,sigmoid,16,Adam,10,0.0,0.9972583961617546
157,32,sigmoid,16,Adam,20,0.0,0.9972489683631361
158,32,sigmoid,16,Adam,30,0.0,0.9972394755003451
159,32,sigmoid,32,Adam,10,0.0,0.9972583961617546
160,32,sigmoid,32,Adam,20,0.0,0.9972489683631361
161,32,sigmoid,32,Adam,30,0.0,0.9972394755003451
162,32,sigmoid,8,RMSprop,10,0.0,0.9972583961617546
163,32,sigmoid,8,RMSprop,20,0.0,0.9972489683631361
164,32,sigmoid,8,RMSprop,30,0.0,0.9972394755003451
165,32,sigmoid,16,RMSprop,10,0.0,0.9972583961617546
166,32,sigmoid,16,RMSprop,20,0.0,0.9972489683631361
167,32,sigmoid,16,RMSprop,30,0.0,0.9972394755003451
168,32,sigmoid,32,RMSprop,10,0.0,0.9972583961617546
169,32,sigmoid,32,RMSprop,20,0.0,0.9972489683631361
170,32,sigmoid,32,RMSprop,30,0.0,0.9972394755003451
171,32,sigmoid,8,Adadelta,10,0.0,0.9972583961617546
172,32,sigmoid,8,Adadelta,20,1.0,0.002751031636863824
173,32,sigmoid,8,Adadelta,30,1.0,0.0027605244996549345
174,32,sigmoid,16,Adadelta,10,0.0,0.9972583961617546
175,32,sigmoid,16,Adadelta,20,1.0,0.002751031636863824
176,32,sigmoid,16,Adadelta,30,1.0,0.0027605244996549345
177,32,sigmoid,32,Adadelta,10,0.0,0.9972583961617546
178,32,sigmoid,32,Adadelta,20,1.0,0.002751031636863824
179,32,sigmoid,32,Adadelta,30,0.0,0.9972394755003451
180,32,tanh,8,SGD,10,0.0,0.9972583961617546
181,32,tanh,8,SGD,20,0.0,0.9972489683631361
182,32,tanh,8,SGD,30,0.0,0.9972394755003451
183,32,tanh,16,SGD,10,0.0,0.9972583961617546
184,32,tanh,16,SGD,20,0.0,0.9972489683631361
185,32,tanh,16,SGD,30,0.0,0.9972394755003451
186,32,tanh,32,SGD,10,0.0,0.9972583961617546
187,32,tanh,32,SGD,20,0.0,0.9972489683631361
188,32,tanh,32,SGD,30,0.0,0.9972394755003451
189,32,tanh,8,Adam,10,0.0,0.9972583961617546
190,32,tanh,8,Adam,20,0.0,0.9972489683631361
191,32,tanh,8,Adam,30,0.0,0.9972394755003451
192,32,tanh,16,Adam,10,0.0,0.9972583961617546
193,32,tanh,16,Adam,20,0.0,0.9972489683631361
194,32,tanh,16,Adam,30,0.0,0.9972394755003451
195,32,tanh,32,Adam,10,0.0,0.9972583961617546
196,32,tanh,32,Adam,20,0.0,0.9972489683631361
197,32,tanh,32,Adam,30,0.0,0.9972394755003451
198,32,tanh,8,RMSprop,10,0.0,0.9972583961617546
199,32,tanh,8,RMSprop,20,0.0,0.9972489683631361
200,32,tanh,8,RMSprop,30,0.0,0.9972394755003451
201,32,tanh,16,RMSprop,10,0.0,0.9972583961617546
202,32,tanh,16,RMSprop,20,0.0,0.9972489683631361
203,32,tanh,16,RMSprop,30,0.0,0.9972394755003451
204,32,tanh,32,RMSprop,10,0.0,0.9972583961617546
205,32,tanh,32,RMSprop,20,0.0,0.9972489683631361
206,32,tanh,32,RMSprop,30,0.0,0.9972394755003451
207,32,tanh,8,Adadelta,10,0.0,0.9136394790952708
208,32,tanh,8,Adadelta,20,0.125,0.9786795048143053
209,32,tanh,8,Adadelta,30,1.0,0.2015182884748102
210,32,tanh,16,Adadelta,10,1.0,0.4383139136394791
211,32,tanh,16,Adadelta,20,0.625,0.8810178817056397
212,32,tanh,16,Adadelta,30,1.0,0.25914423740510695
213,32,tanh,32,Adadelta,10,0.25,0.16860863605209048
214,32,tanh,32,Adadelta,20,0.75,0.44635488308115545
215,32,tanh,32,Adadelta,30,1.0,0.22084195997239475
216,64,relu,8,SGD,10,0.0,0.9972583961617546
217,64,relu,8,SGD,20,0.0,0.9972489683631361
218,64,relu,8,SGD,30,0.0,0.9972394755003451
219,64,relu,16,SGD,10,0.0,0.9972583961617546
220,64,relu,16,SGD,20,0.0,0.9972489683631361
221,64,relu,16,SGD,30,0.0,0.9972394755003451
222,64,relu,32,SGD,10,0.0,0.9972583961617546
223,64,relu,32,SGD,20,0.0,0.9972489683631361
224,64,relu,32,SGD,30,0.0,0.9972394755003451
225,64,relu,8,Adam,10,0.0,0.9972583961617546
226,64,relu,8,Adam,20,0.0,0.9972489683631361
227,64,relu,8,Adam,30,0.0,0.9972394755003451
228,64,relu,16,Adam,10,0.0,0.9972583961617546
229,64,relu,16,Adam,20,0.0,0.9972489683631361
230,64,relu,16,Adam,30,0.0,0.9972394755003451
231,64,relu,32,Adam,10,0.0,0.9972583961617546
232,64,relu,32,Adam,20,0.0,0.9972489683631361
233,64,relu,32,Adam,30,0.0,0.9972394755003451
234,64,relu,8,RMSprop,10,0.0,0.9972583961617546
235,64,relu,8,RMSprop,20,0.0,0.9972489683631361
236,64,relu,8,RMSprop,30,0.0,0.9972394755003451
237,64,relu,16,RMSprop,10,0.0,0.9972583961617546
238,64,relu,16,RMSprop,20,0.0,0.9972489683631361
239,64,relu,16,RMSprop,30,0.0,0.9972394755003451
240,64,relu,32,RMSprop,10,0.0,0.9972583961617546
